"행정구역","2022년10월_계_총인구수","2022년10월_계_연령구간인구수","2022년10월_계_0~4세","2022년10월_계_5~9세","2022년10월_계_10~14세","2022년10월_계_15~19세","2022년10월_계_20~24세","2022년10월_계_25~29세","2022년10월_계_30~34세","2022년10월_계_35~39세","2022년10월_계_40~44세","2022년10월_계_45~49세","2022년10월_계_50~54세","2022년10월_계_55~59세","2022년10월_계_60~64세","2022년10월_계_65~69세","2022년10월_계_70~74세","2022년10월_계_75~79세","2022년10월_계_80~84세","2022년10월_계_85~89세","2022년10월_계_90~94세","2022년10월_계_95~99세","2022년10월_계_100세 이상","2022년10월_남_총인구수","2022년10월_남_연령구간인구수","2022년10월_남_0~4세","2022년10월_남_5~9세","2022년10월_남_10~14세","2022년10월_남_15~19세","2022년10월_남_20~24세","2022년10월_남_25~29세","2022년10월_남_30~34세","2022년10월_남_35~39세","2022년10월_남_40~44세","2022년10월_남_45~49세","2022년10월_남_50~54세","2022년10월_남_55~59세","2022년10월_남_60~64세","2022년10월_남_65~69세","2022년10월_남_70~74세","2022년10월_남_75~79세","2022년10월_남_80~84세","2022년10월_남_85~89세","2022년10월_남_90~94세","2022년10월_남_95~99세","2022년10월_남_100세 이상","2022년10월_여_총인구수","2022년10월_여_연령구간인구수","2022년10월_여_0~4세","2022년10월_여_5~9세","2022년10월_여_10~14세","2022년10월_여_15~19세","2022년10월_여_20~24세","2022년10월_여_25~29세","2022년10월_여_30~34세","2022년10월_여_35~39세","2022년10월_여_40~44세","2022년10월_여_45~49세","2022년10월_여_50~54세","2022년10월_여_55~59세","2022년10월_여_60~64세","2022년10월_여_65~69세","2022년10월_여_70~74세","2022년10월_여_75~79세","2022년10월_여_80~84세","2022년10월_여_85~89세","2022년10월_여_90~94세","2022년10월_여_95~99세","2022년10월_여_100세 이상"
"경상북도 성주군 (4784000000)","42,595","42,595","866","837","1,049","1,084","1,342","1,526","1,503","1,523","1,972","2,419","3,429","4,407","5,723","4,483","3,764","2,395","2,286","1,416","464","93","14","22,178","22,178","442","420","540","622","799","939","857","817","1,134","1,459","1,964","2,386","3,092","2,392","1,848","1,076","887","382","103","16","3","20,417","20,417","424","417","509","462","543","587","646","706","838","960","1,465","2,021","2,631","2,091","1,916","1,319","1,399","1,034","361","77","11"
"경상북도 칠곡군 (4785000000)","112,626","112,626","2,805","5,078","5,696","5,509","5,612","5,429","5,669","7,211","10,020","10,362","10,882","9,414","9,084","6,473","4,524","3,284","3,088","1,760","585","124","17","58,911","58,911","1,399","2,636","2,962","2,927","3,327","3,137","3,110","3,899","5,398","5,585","5,881","5,132","4,919","3,286","2,223","1,341","1,055","530","141","23","0","53,715","53,715","1,406","2,442","2,734","2,582","2,285","2,292","2,559","3,312","4,622","4,777","5,001","4,282","4,165","3,187","2,301","1,943","2,033","1,230","444","101","17"
"경상북도 예천군 (4790000000)","55,793","55,793","1,781","2,465","2,536","2,018","1,935","2,090","2,339","2,812","3,671","3,553","3,742","4,088","5,164","4,798","3,763","2,893","3,275","2,068","639","140","23","27,398","27,398","880","1,226","1,317","1,085","1,101","1,140","1,211","1,436","1,857","1,918","2,052","2,130","2,657","2,377","1,772","1,267","1,193","617","135","26","1","28,395","28,395","901","1,239","1,219","933","834","950","1,128","1,376","1,814","1,635","1,690","1,958","2,507","2,421","1,991","1,626","2,082","1,451","504","114","22"
"경상북도 봉화군 (4792000000)","30,272","30,272","443","649","814","926","916","795","726","915","1,235","1,665","2,301","2,933","3,973","3,345","2,590","2,067","2,148","1,272","431","109","19","15,361","15,361","229","351","441","462","563","485","423","495","688","966","1,290","1,574","2,106","1,788","1,291","875","793","408","116","17","0","14,911","14,911","214","298","373","464","353","310","303","420","547","699","1,011","1,359","1,867","1,557","1,299","1,192","1,355","864","315","92","19"
"경상북도 울진군 (4793000000)","47,123","47,123","1,094","1,438","1,622","1,760","2,052","2,029","1,939","1,944","2,711","3,154","4,008","4,202","4,929","4,028","2,972","2,479","2,522","1,489","606","134","11","23,729","23,729","588","713","871","963","1,178","1,258","1,111","1,039","1,406","1,750","2,230","2,343","2,483","1,991","1,435","1,002","845","406","99","17","1","23,394","23,394","506","725","751","797","874","771","828","905","1,305","1,404","1,778","1,859","2,446","2,037","1,537","1,477","1,677","1,083","507","117","10"
"경상북도 울릉군 (4794000000)","9,013","9,013","146","197","212","222","354","462","389","420","564","660","870","924","1,080","830","612","467","332","190","68","13","1","4,991","4,991","79","104","106","113","206","307","233","246","353","415","539","529","576","442","308","204","141","70","17","3","0","4,022","4,022","67","93","106","109","148","155","156","174","211","245","331","395","504","388","304","263","191","120","51","10","1"
"경상남도  (4800000000)","3,284,495","3,284,495","88,299","144,840","163,603","154,976","170,023","174,536","169,926","195,435","258,632","262,370","302,160","273,836","292,232","217,921","152,594","105,634","89,154","48,264","16,541","3,132","387","1,653,654","1,653,654","45,261","74,532","84,320","81,572","95,486","97,484","91,166","101,004","133,054","134,399","154,854","140,177","146,881","107,478","72,432","45,263","31,226","13,342","3,191","480","52","1,630,841","1,630,841","43,038","70,308","79,283","73,404","74,537","77,052","78,760","94,431","125,578","127,971","147,306","133,659","145,351","110,443","80,162","60,371","57,928","34,922","13,350","2,652","335"
"경상남도 창원시 (4812000000)","1,023,269","1,023,269","28,567","45,057","50,070","47,572","56,189","63,013","61,236","65,138","83,290","81,731","94,572","87,359","90,889","65,384","42,750","26,864","19,611","10,001","3,340","573","63","518,179","518,179","14,527","23,378","25,714","25,169","31,459","35,392","33,150","34,250","42,786","41,485","46,877","43,424","45,239","31,879","20,469","11,998","7,353","2,897","624","97","12","505,090","505,090","14,040","21,679","24,356","22,403","24,730","27,621","28,086","30,888","40,504","40,246","47,695","43,935","45,650","33,505","22,281","14,866","12,258","7,104","2,716","476","51"
"경상남도 창원시 의창구 (4812100000)","216,095","216,095","6,364","9,625","10,068","9,219","12,141","14,214","13,334","13,938","17,251","16,398","20,498","20,036","20,050","13,453","8,257","4,931","3,605","1,946","645","108","14","109,983","109,983","3,210","4,948","5,173","4,883","6,873","7,962","7,187","7,286","8,971","8,353","9,913","9,920","10,322","6,659","4,108","2,257","1,291","534","116","16","1","106,112","106,112","3,154","4,677","4,895","4,336","5,268","6,252","6,147","6,652","8,280","8,045","10,585","10,116","9,728","6,794","4,149","2,674","2,314","1,412","529","92","13"
"경상남도 창원시 성산구 (4812300000)","248,840","248,840","6,925","10,381","12,259","12,824","15,781","18,894","17,985","16,545","19,090","20,337","25,879","24,006","21,909","11,820","6,319","3,399","2,465","1,389","520","102","11","126,910","126,910","3,509","5,370","6,326","6,835","8,857","10,594","9,869","8,804","9,462","9,583","12,163","11,806","11,469","6,125","3,232","1,602","851","356","75","19","3","121,930","121,930","3,416","5,011","5,933","5,989","6,924","8,300","8,116","7,741","9,628","10,754","13,716","12,200","10,440","5,695","3,087","1,797","1,614","1,033","445","83","8"
